Freq	Strain	Gprime	Gdprime	tand	Gcomplex	delta
to-1	-	E/V	E/V	-	E/V	degrees
-	-	-	-	-	-
3.141592653589793116e+00	3.000000000000099809e-03	3.216679034834056438e+03	6.403788926823608563e+02	1.072226344944649842e+06	3.216679034835455241e+03	8.991052838624818833e+01
1.570796326794896558e+00	3.000000000000099809e-03	2.954631884230676860e+03	4.159970244318737969e+02	9.848772947435261449e+05	2.954631884232200264e+03	8.986226904091594747e+01
7.853981633974482790e-01	3.000000000000099809e-03	2.893595001803671039e+03	3.177077498787888317e+02	9.645316672678582836e+05	2.893595001805226275e+03	8.981965945015400621e+01
6.283185307179586232e-01	3.000000000000099809e-03	2.920399798136481422e+03	2.937652381288992842e+02	9.734665993787947809e+05	2.920399798138022106e+03	8.980496140874328148e+01
3.141592653589793116e-01	3.000000000000099809e-03	2.780517965098762943e+03	2.212099149869921462e+02	9.268393216995567782e+05	2.780517965100381389e+03	8.974099086278776838e+01
1.570796326794896558e-01	3.000000000000099809e-03	2.822632723127134796e+03	1.852438272661279086e+02	9.408775743756802985e+05	2.822632723128729140e+03	8.969070374000602897e+01
7.853981633974482790e-02	3.000000000000099809e-03	2.746407907835477090e+03	1.665348107016260428e+02	9.154693026117952541e+05	2.746407907837115545e+03	8.965595727014638783e+01
6.283185307179586787e-02	3.000000000000099809e-03	2.719881219384867563e+03	1.569349427847281220e+02	9.066270731282590423e+05	2.719881219386521934e+03	8.963491238438976438e+01
3.141592653589793394e-02	3.000000000000099809e-03	2.597571829287246601e+03	1.423852081632946351e+02	8.658572764290533960e+05	2.597571829288979188e+03	8.959760681439398411e+01
1.570796326794896697e-02	3.000000000000099809e-03	2.550310087994252626e+03	2.002171951604805997e+02	8.501033626647226047e+05	2.550310087996017046e+03	8.971383425362239450e+01
